"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,69644,12,8,"__amd_rocclr_copyBuffer",5439,4565469268488,4565469271094,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,13,8,"__amd_rocclr_copyBuffer",5440,4565469288813,4565469291299,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,14,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",7051,4565475899056,4565476100985,0,0,4,4,16,256,1,1,105280000,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,15,8,"__amd_rocclr_copyBuffer",7057,4565476130850,4565476134859,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,16,8,"__amd_rocclr_copyBuffer",7060,4565476155706,4565476159434,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,1,69644,17,13,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",7071,4565476190743,4565497499478,512,0,68,4,64,64,1,1,102400,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,18,8,"__amd_rocclr_copyBuffer",7077,4565497638146,4565497642235,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,19,8,"__amd_rocclr_copyBuffer",8682,4565500829361,4565500834211,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,1,69644,20,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",8693,4565500870492,4565502332703,1024,0,68,4,80,64,2,1,51200,2,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,21,8,"__amd_rocclr_copyBuffer",8701,4565502378565,4565502381612,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,69644,22,8,"__amd_rocclr_copyBuffer",8702,4565502398730,4565502401416,0,0,16,0,32,512,1,1,512,1,1
