GPUArch,EnvLabel,Campaign,Mode,ChunkSize,ChunkSizeKiB,Algorithm,Dataset,Size,FileSizeMB,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,16384,16,lz4,tti,medium,100.00,1.06,10.03,181.89,10.450,0.576,4.326,4.095,18.872
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,16384,16,lz4,tti,large,686.00,1.04,11.18,160.75,64.321,4.475,26.417,25.423,116.161
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,16384,16,snappy,tti,medium,100.00,1.05,22.78,76.83,4.603,1.365,4.163,3.962,12.728
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,16384,16,snappy,tti,large,686.00,1.03,28.69,64.81,25.068,11.100,26.232,25.361,76.662
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,16384,16,cascaded,tti,medium,100.00,1.05,39.43,155.69,2.660,0.674,4.241,4.052,10.952
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,16384,16,cascaded,tti,large,686.00,1.03,57.16,204.85,12.584,3.511,26.509,25.743,64.835
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,262144,256,lz4,tti,medium,100.00,1.06,4.20,52.83,24.991,1.985,4.197,3.976,33.163
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,262144,256,lz4,tti,large,686.00,1.04,5.90,105.06,121.911,6.847,26.746,25.765,174.422
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,262144,256,snappy,tti,medium,100.00,1.05,16.93,50.94,6.195,2.059,3.985,3.790,13.969
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,262144,256,snappy,tti,large,686.00,1.03,23.22,81.29,30.972,8.848,26.420,25.529,82.921
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,262144,256,cascaded,tti,medium,100.00,1.04,31.12,55.90,3.369,1.876,3.771,3.628,10.768
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,262144,256,cascaded,tti,large,686.00,1.02,55.48,152.81,12.964,4.707,26.403,25.823,65.191
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,32768,32,lz4,tti,medium,100.00,1.06,8.05,108.72,13.031,0.964,3.777,3.576,20.384
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,32768,32,lz4,tti,large,686.00,1.04,9.97,109.17,72.122,6.589,26.577,25.591,124.290
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,32768,32,snappy,tti,medium,100.00,1.05,24.45,100.76,4.289,1.041,3.949,3.756,11.995
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,32768,32,snappy,tti,large,686.00,1.03,27.06,64.70,26.582,11.117,26.632,25.741,78.956
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,32768,32,cascaded,tti,medium,100.00,1.05,49.64,196.78,2.112,0.533,3.832,3.664,9.608
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,32768,32,cascaded,tti,large,686.00,1.03,58.75,192.45,12.244,3.738,26.016,25.283,63.543
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,4194304,4096,lz4,tti,medium,100.00,1.06,0.33,6.27,316.004,16.723,3.841,3.639,323.485
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,4194304,4096,lz4,tti,large,686.00,1.04,2.07,37.43,347.334,19.219,26.738,25.759,399.832
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,4194304,4096,snappy,tti,medium,100.00,1.05,1.71,4.04,61.149,25.946,3.844,3.656,68.649
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,4194304,4096,snappy,tti,large,686.00,1.03,8.87,24.87,81.058,28.920,26.569,25.672,133.298
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,4194304,4096,cascaded,tti,medium,100.00,1.04,4.86,4.25,21.592,24.695,3.882,3.735,29.209
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,4194304,4096,cascaded,tti,large,686.00,1.02,28.05,28.07,25.643,25.629,26.165,25.609,77.416
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,65536,64,lz4,tti,medium,100.00,1.06,5.83,92.89,17.999,1.129,4.257,4.032,26.289
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,65536,64,lz4,tti,large,686.00,1.04,7.43,138.40,96.806,5.197,26.298,25.328,148.432
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,65536,64,snappy,tti,medium,100.00,1.05,23.40,105.98,4.481,0.989,3.780,3.595,11.856
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,65536,64,snappy,tti,large,686.00,1.03,26.07,76.19,27.596,9.442,27.027,26.119,80.741
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,65536,64,cascaded,tti,medium,100.00,1.04,52.71,182.91,1.989,0.573,3.835,3.679,9.503
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,65536,64,cascaded,tti,large,686.00,1.03,61.56,176.26,11.685,4.081,26.239,25.585,63.509
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,8192,8,lz4,tti,medium,100.00,1.06,9.17,142.95,11.437,0.734,4.251,4.024,19.713
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,8192,8,lz4,tti,large,686.00,1.04,11.75,159.35,61.215,4.514,26.618,25.621,113.454
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,8192,8,snappy,tti,medium,100.00,1.05,18.17,54.55,5.771,1.922,4.180,3.978,13.929
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,8192,8,snappy,tti,large,686.00,1.03,29.14,62.85,24.686,11.445,26.032,25.175,75.893
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,8192,8,cascaded,tti,medium,100.00,1.05,32.86,140.29,3.191,0.747,4.408,4.206,11.805
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,8192,8,cascaded,tti,large,686.00,1.03,53.18,181.20,13.526,3.970,26.473,25.672,65.672
