Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
snappy,xlarge_random_4096.bin,4294967296,4096.00,65536,0.99,27.51,106.52,156.109,40.322,156.744,157.975,470.828,0.002382,0.0391,0.3159,0.2222,0.1194,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
snappy,xlarge_zeros_4096.bin,4294967296,4096.00,65536,21.30,28.86,85.67,148.814,50.133,156.919,7.368,313.100,0.002271,0.0320,0.3403,0.1654,0.1993,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,large_TTI_1024.bin,719323136,686.00,65536,1.03,60.87,175.13,11.817,4.107,26.338,25.682,63.837,0.001077,0.6247,6.0877,0.1222,0.1564,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,large_binary_1024.bin,1073741824,1024.00,65536,3.03,82.38,91.95,13.034,11.678,39.620,13.058,65.712,0.000796,0.1809,0.4392,0.0286,0.0560,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,large_random_1024.bin,1073741824,1024.00,65536,1.00,58.47,279.91,18.363,3.836,39.406,39.411,97.180,0.001121,0.3069,2.5452,0.0965,0.0349,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,large_zeros_1024.bin,1073741824,1024.00,65536,92.04,175.14,40.52,6.131,26.498,39.207,0.426,45.763,0.000374,0.0919,0.3206,0.0032,0.2096,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,medium_TTI_100.bin,104857600,100.00,65536,1.04,53.03,183.81,1.977,0.570,3.869,3.712,9.558,0.001236,3.7064,9.0137,0.1484,0.0292,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,medium_binary_100.bin,104857600,100.00,65536,3.04,66.97,158.06,1.566,0.663,3.801,1.250,6.617,0.000979,4.5472,8.8498,0.1164,0.0390,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,medium_random_100.bin,104857600,100.00,65536,1.00,50.10,325.96,2.093,0.322,3.778,3.779,9.650,0.001308,3.5229,3.7420,0.1571,0.0037,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,medium_zeros_100.bin,104857600,100.00,65536,92.04,143.94,47.02,0.728,2.230,4.054,0.044,4.826,0.000455,8.3634,4.9119,0.0462,0.2630,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,small_TTI_10.bin,10485760,10.00,65536,1.61,28.52,23.99,0.368,0.437,0.507,0.314,1.189,0.002298,1.3262,1.1164,0.0175,0.0207,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,small_binary_10.bin,10485760,10.00,65536,3.04,24.30,54.25,0.432,0.193,0.540,0.178,1.150,0.002697,5.0988,10.1969,0.1203,0.0471,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,small_random_10.bin,10485760,10.00,65536,1.00,22.53,177.89,0.465,0.059,0.542,0.542,1.549,0.002909,5.5092,18.4184,0.1355,0.0071,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,small_zeros_10.bin,10485760,10.00,65536,92.04,68.48,21.07,0.153,0.498,0.522,0.006,0.681,0.000957,13.1515,4.4372,0.0384,0.1389,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,59.91,215.17,66.041,18.386,145.158,141.532,352.730,0.001094,0.1729,1.1141,0.1911,0.0952,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.04,80.12,129.04,53.608,33.284,156.924,51.609,262.141,0.000818,0.2437,0.4496,0.1632,0.1160,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,57.25,275.74,75.026,15.576,157.020,157.039,389.086,0.001145,0.1411,0.8856,0.1854,0.0499,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
cascaded,xlarge_zeros_4096.bin,4294967296,4096.00,65536,92.04,175.02,54.43,24.539,78.905,157.335,1.709,183.584,0.000374,0.5845,0.0808,0.0821,0.1171,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_013237
