"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
6,6,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370036565422,406370036567425
7,7,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370036633286,406370036635209
7,7,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370036633286,406370036635209
8,8,"Agent 2",2,194735,194735,66560,13,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1024,96,64,0,64,"TCP_TCC_READ_REQ_sum",1985722.000000,406370042820246,406370044204839
8,8,"Agent 2",2,194735,194735,66560,13,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int)",64,1024,96,64,0,64,"TCP_TOTAL_CACHE_ACCESSES_sum",74031812.000000,406370042820246,406370044204839
9,9,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370044314246,406370044316208
9,9,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370044314246,406370044316208
10,10,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370048582919,406370048585042
10,10,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370048582919,406370048585042
11,11,"Agent 2",2,194735,194735,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TCC_READ_REQ_sum",480228.000000,406370048649981,406370049006285
11,11,"Agent 2",2,194735,194735,66560,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",128,1024,0,68,4,80,"TCP_TOTAL_CACHE_ACCESSES_sum",8159456.000000,406370048649981,406370049006285
12,12,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370049128311,406370049130034
12,12,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",260.000000,406370049128311,406370049130034
13,13,"Agent 2",1,194735,194735,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",33.000000,406370049195173,406370049196976
13,13,"Agent 2",1,194735,194735,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TOTAL_CACHE_ACCESSES_sum",130.000000,406370049195173,406370049196976
14,14,"Agent 2",1,194735,194735,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCP_TCC_READ_REQ_sum",65.000000,406370049428048,406370049429731
