"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
6,6,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",98.148148,4810590808313,4810590811881
7,7,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_GUI_ACTIVE",277168.000000,4810590924573,4810590928101
7,7,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"OccupancyPercent",1.80879593e-02,4810590924573,4810590928101
7,7,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",1.08741814e-02,4810590924573,4810590928101
7,7,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_BUSY_CYCLES",9563.000000,4810590924573,4810590928101
7,7,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES",16.000000,4810590924573,4810590928101
7,7,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",98.148148,4810590924573,4810590928101
8,8,"Agent 2",2,74164,74164,204800,21,"void (anonymous namespace)::cascaded_compression_kernel<int, unsigned long, 128, 4096>(int, int const* const*, unsigned long const*, void* const*, unsigned long*, arctoBatchedCascadedOpts_t)",128,13824,0,72,0,112,"GRBM_GUI_ACTIVE",19670520.000000,4810592486005,4810593658154
8,8,"Agent 2",2,74164,74164,204800,21,"void (anonymous namespace)::cascaded_compression_kernel<int, unsigned long, 128, 4096>(int, int const* const*, unsigned long const*, void* const*, unsigned long*, arctoBatchedCascadedOpts_t)",128,13824,0,72,0,112,"OccupancyPercent",15.739950,4810592486005,4810593658154
8,8,"Agent 2",2,74164,74164,204800,21,"void (anonymous namespace)::cascaded_compression_kernel<int, unsigned long, 128, 4096>(int, int const* const*, unsigned long const*, void* const*, unsigned long*, arctoBatchedCascadedOpts_t)",128,13824,0,72,0,112,"MemUnitStalled",5.36036855e-02,4810592486005,4810593658154
8,8,"Agent 2",2,74164,74164,204800,21,"void (anonymous namespace)::cascaded_compression_kernel<int, unsigned long, 128, 4096>(int, int const* const*, unsigned long const*, void* const*, unsigned long*, arctoBatchedCascadedOpts_t)",128,13824,0,72,0,112,"SQ_BUSY_CYCLES",76926205.000000,4810592486005,4810593658154
8,8,"Agent 2",2,74164,74164,204800,21,"void (anonymous namespace)::cascaded_compression_kernel<int, unsigned long, 128, 4096>(int, int const* const*, unsigned long const*, void* const*, unsigned long*, arctoBatchedCascadedOpts_t)",128,13824,0,72,0,112,"SQ_WAVES",3200.000000,4810592486005,4810593658154
8,8,"Agent 2",2,74164,74164,204800,21,"void (anonymous namespace)::cascaded_compression_kernel<int, unsigned long, 128, 4096>(int, int const* const*, unsigned long const*, void* const*, unsigned long*, arctoBatchedCascadedOpts_t)",128,13824,0,72,0,112,"VALUUtilization",93.191347,4810592486005,4810593658154
9,9,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_GUI_ACTIVE",242892.000000,4810593799310,4810593801756
9,9,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"OccupancyPercent",1.16507541e-02,4810593799310,4810593801756
9,9,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",1.85344155e-02,4810593799310,4810593801756
9,9,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_BUSY_CYCLES",5411.000000,4810593799310,4810593801756
9,9,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES",16.000000,4810593799310,4810593801756
9,9,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",98.148148,4810593799310,4810593801756
10,10,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_GUI_ACTIVE",275208.000000,4810595604909,4810595608597
10,10,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"OccupancyPercent",1.80130733e-02,4810595604909,4810595608597
10,10,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",1.92065931e-03,4810595604909,4810595608597
10,10,"Agent 2",1,74164,74164,1024,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_BUSY_CYCLES",9256.000000,4810595604909,4810595608597
